"DisplayName","ObjectType","RoleDefinitionName","Scope"
"0ef58aa942b14f96ab9f1aeb","ServicePrincipal","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"MS-PIM","ServicePrincipal","User Access Administrator","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"ags-PIM-AZ-Global-CloudAdmin","Group","Owner","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"ags-PIM-AZ-Global-User-Admin","Group","User Access Administrator","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"c947ed74b25d48aebbaeca36","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"4a747ac101ee475f911689e2","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"aeee1f8015364388a9387ce9","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"AMA-Policy-Remediation","ServicePrincipal","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Virtual Machine Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","User Access Administrator","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
